,Titre,Description,Détail des conditions,Résumé horaires,Adresse
917,Soirée jeux famille,"Une soirée entièrement dédiée aux jeux de société modernes, un moment convivial à partager en famille","Entrée gratuite pour les adhérents sur présentation de la carte d'adhésion - 2,10€ par personne  pour les non-adhérents","Samedi 3 décembre, 18h30","18 rue de l'abbé Derry, 92130 Issy-les-Moulineaux"
918,"Biblio-connection, atelier découverte de lectures jeunesse sous forme numérique et interactive","Dans le cadre du Digiscope, journée éphémère à la découverte des objets et des usages de demain.",Entrée libre dans la limite des places disponibles,"Mercredi 15 juin 2016, 14h00",90-98 Promenade du Verger au Fort d'Issy 92130 Issy-les-Moulineaux
919,Goûter salsa,Pour les amateurs de salsa ou pour les débutants qui voudront s'essayer à cette danse cubaine.,Entrée libre,"Dimanche 13 novembre 2016, 16h00","90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France"
920,"Spectacle ""Blabla les belles bulles""",Un spectacle de la compagnie MinosKropic où les notes et les mots s'envolent comme des bulles pour aller chatouiller les oreilles.,Sur réservation,"Dimanche 27 novembre 2016, 16h00","90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France"
921,"""Bonom"" de la Cie Senso Tempo",spectacle danse et arts plastiques pour les enfants à partir de 2 ans,A partir de 2 ans. Durée : 30 min.  Sur réservation.,"Dimanche 29 janvier 2017, 10h00, 11h00","90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France"
922,"Ciné doc : ""Pierre Rahbi, la reconquête du songe »","Un cinéma de création pour découvrir, s'interroger et réfléchir ensemble aux grandes questions de notre monde.",Public adulte. Durée : de 1h30 à 2h  (projection + échange). Sur réservation.,"Mardi 17 janvier 2017, 20h00","90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France"
923,Marmottines,Initiez les 0-3 ans à la lecture!,"Sur réservation, ouverture des inscriptions 15 jours avant chaque séance","Mercredi 22 février 2017, 09h30","90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France"
924,"Concert du groupe ""G. NOVA""",Fusion de musique folk japonaise et rock progressif,Tout public. Sur réservation.,"Vendredi 12 mai 2017, 20h00","90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France"
925,Atelier de calligraphie japonaise,Atelier de calligraphie japonaise,Sur réservation,"Dimanche 14 mai 2017, 14h00","90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France"
926,"""Koinoboris"" - Exposition de carpes géantes de Kazunori Toagashi",pour l'Association Ganbalo,Entrée libre aux horaires d'ouverture de la structure,2 - 27 mai 2017,"90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France"
927,Atelier d'initiation à la céramologie,Démonstration et initiation à la céramologie dès 7 ans,"Accès libre, sur inscription",17 et 18 juin 2017,"90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France"
928,"Exposition : ""Alter Ego"" par Emmanuel Le Moan","Exposition de reproductions de travaux à l'encre, images d'images au statut incertain, récit de notre rapport au monde. Entrée libre",Entrée libre aux horaires d'ouverture du Temps des Cerises,8 - 27 janvier 2019,"90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France"
929,Les Marmottines,"Séance de lecture pour les tout-petits jusqu'à 3 ans accompagnés d'un adulte, sur réservation","Animation gratuite, renseignements par téléphone, inscription par email, téléphone ou à l'accueil du Temps des Cerises","Mercredi 22 janvier 2020, 09h30","90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France"
930,Rencontre avec l'artiste Anaïs Tondeur autour de son exposition Tchernobyl herbarium  ÉVÉNEMENT ANNULE,"La photographe Anaïs Tondeur présentera son engagement d’artiste, ses sources d’inspiration et la naissance du projet Tchernobyl Herbarium.",Sur réservation,"Jeudi 6 février 2020, 19h30","90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France"
931,Annulé | Duokami - cie La Ravi,"Un spectacle poétique, qui nous entraîne dans un mouvement fluide et léger, au rythme de la contrebasse et des créations d'origami...",Sur réservation,"Dimanche 24 mai 2020, 10h00, 11h15","90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France"
932,Exposition au Temps des Cerises dans le cadre d'Issy BD : L’aventure de Lanfeust Mag,Exposition rétrospective visible du 3 au 30 octobre 2020,"Gratuit, entrée libre pendant les horaires d'ouverture de la structure, renseignements par téléphone",3 - 31 octobre 2020,"90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France"
933,Festival Indie Game Nation,Festival du jeux vidéo indépendant,Libre accès,6 et 7 mars 2021,"90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France"
934,Mini Lab: Arduino,"Découvrir, s’initier, se perfectionner, ces ateliers vous proposent d’entrer dans le monde du codage informatique et de la robotique","Gratuit, sur réservation par téléphone, sur place ou sur www.issy.com/reservation-tempsdescerises","Dimanche 12 décembre 2021, 16h30","90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France"
935,Lire et faire lire : lectures pour enfants,A partir de 3 ans.,Sur réservation au 01 41 23 84 00 ou sur place,"Samedi 9 octobre 2021, 11h00","90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France"
936,"Atelier ""1 mois, 1 oeuvre"" avec le Musée du quai Branly - Jacques Chirac",Kamishibai : Partez à la rencontre de Yokaï et fantômes japonais en réalisant un petit Kamishibaï.,Entrée libre sur réservation,"Samedi 27 novembre 2021, 14h30, 16h30","90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France"
937,Contes kamishibaï : Issun-Boshi et Tanabata et Natsuhiko,Par Hiromi Asai. Pour les enfants de 6 ans accompagnés.,"Gratuit sur réservation en ligne, renseignements au 01 41 23 84 00","Dimanche 14 novembre 2021, 17h00","90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France"
938,Mini Lab: Découpe et gravure laser,"S'initier à l'utilisation des machines du minilab du Temps des Cerises, sur inscription","Gratuit, sur réservation par téléphone, sur place ou sur www.issy.com/reservation-tempsdescerises","Dimanche 22 mai, 14h30","90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France"
939,"Conférence : Jonglerie musicale, automates et combinatoire","Conférence jonglée avec Florent Hivert, professeur en informatique à Paris-Saclay et Vincent de Lavenère, jongleur-artiste de la compagnie Chant de balles.",Gratuit sur réservation en ligne,"Samedi 29 janvier, 15h00","90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France"
